機構代碼,機構名稱,電話,縣市區名,地址,科別,Response_Address,Response_X,Response_Y
1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,06-2748316,臺南市東區,臺南市東區東門路1段57號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,牙醫一般科,中醫一般科,",臺南市東區東門里6鄰東門路一段57號,120.212807,22.989158
3501176168,太陽雨信義身心診所,,,臺北市信義區莊敬路176號,,,121.560796,25.031409
5901102999,廣福中西藥局,,,臺北市中山區錦州街406號,,,121.541659,25.060113
5901103996,艾禾藥局,,,臺北市中山區大直街63號,,,121.546436,25.08353
5901163312,秝安藥局,,,臺北市北投區石牌路一段69號,,,121.51108,25.113565
5901184919,和平藥局,,,臺北市中正區中華路2段43號1樓,,,121.506373,25.035081
5901203740,健安藥局,,,臺北市文山區景興路165號,,,121.544663,24.993463
5901203777,興隆藥局,,,臺北市文山區興隆路3段84號2樓,,,121.556685,24.999694
5911040228,大田大藥局,,,基隆市仁愛區仁二路五號,,,121.750704,25.127443
5911071607,家安藥師藥局,,,基隆市信義區信二路257號,,,121.74776,25.130103
5931161513,苗園健保特約藥局,,,新北市泰山區仁愛路92號1,,,121.433145,25.055337
3537014255,好事彰化身心醫學診所,,,彰化縣彰化市民生路233號,,,120.542609,24.080248
5903271264,櫻嘉藥局,,,臺中市西屯區櫻花路107號,,,120.651002,24.170652
5937012671,康好健保藥局,,,彰化縣彰化市光南里旭光路291號,,,120.544026,24.070723
5938011614,廣元藥局,,,南投縣南投市民族路225號,,,120.68804,23.908899
5938050120,家禾藥局,,,南投縣集集鎮民生路237號,,,120.779007,23.826739
1103280012,醫療財團法人正德癌症醫療基金會佛教正德醫院,04-37026588,臺中市南屯區,臺中市南屯區文心南五路三段100號,"家庭醫學科,內科,外科,復健科,放射診斷科,中醫一般科,",臺中市南屯區永定里7鄰文心南五路三段100號,120.630926,24.143208
1117010019,仁愛醫療財團法人台中仁愛醫院,04 22255450,臺中市中區,臺中市中區柳川里柳川東路三段三十六號,"家庭醫學科,內科,外科,骨科,復健科,放射診斷科,",臺中市中區柳川里8鄰柳川東路三段36號,120.677941,24.143363
1136090519,佛教慈濟醫療財團法人台中慈濟醫院,04-36060666,臺中市潭子區,臺中市潭子區豐興路一段66、88號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,",臺中市潭子區聚興里17鄰豐興路一段595號,120.722397,24.204014
